,Task ID,Member IDs,Agent IDs,Created At,Updated At
58,354,"27,26",9,2025-07-27T18:37:19.975Z,2025-07-27T18:37:19.975Z
59,355,27,9,2025-07-27T18:37:27.161Z,2025-07-27T18:37:27.161Z
60,356,29,11,2025-07-27T18:37:34.054Z,2025-07-27T18:37:34.054Z
61,357,27,9,2025-07-27T18:37:40.998Z,2025-07-27T18:37:40.998Z
62,358,27,9,2025-07-27T18:37:47.504Z,2025-07-27T18:37:47.504Z
63,359,27,"9,10",2025-07-27T18:37:57.240Z,2025-07-27T18:37:57.240Z
64,360,"26,27",10,2025-07-27T18:38:03.819Z,2025-07-27T18:38:03.819Z
65,361,26,9,2025-07-27T18:38:10.634Z,2025-07-27T18:38:10.634Z
66,363,"27,29",9,2025-07-27T18:38:30.065Z,2025-07-27T18:38:30.065Z
67,364,29,8,2025-07-27T18:38:37.416Z,2025-07-27T18:38:37.416Z
68,365,29,8,2025-07-27T18:38:44.835Z,2025-07-27T18:38:44.835Z
69,366,29,8,2025-07-27T18:38:53.462Z,2025-07-27T18:38:53.462Z
70,367,29,8,2025-07-27T18:39:00.649Z,2025-07-27T18:39:00.649Z
71,368,29,8,2025-07-27T18:39:08.404Z,2025-07-27T18:39:08.404Z
72,369,29,8,2025-07-27T18:39:15.718Z,2025-07-27T18:39:15.718Z
73,370,29,8,2025-07-27T18:39:23.376Z,2025-07-27T18:39:23.376Z
74,371,29,7,2025-07-27T18:39:29.038Z,2025-07-27T18:39:29.038Z
75,372,29,8,2025-07-27T18:39:36.721Z,2025-07-27T18:39:36.721Z
76,373,"26,30",10,2025-07-27T18:39:44.070Z,2025-07-27T18:39:44.070Z
77,374,"29,26",8,2025-07-27T18:39:52.400Z,2025-07-27T18:39:52.400Z
78,376,29,8,2025-07-27T18:40:10.510Z,2025-07-27T18:40:10.510Z
79,377,"29,26","8,10",2025-07-27T18:40:22.723Z,2025-07-27T18:40:22.723Z
80,378,"29,27",8,2025-07-27T18:40:33.047Z,2025-07-27T18:40:33.047Z
81,379,"29,27",8,2025-07-27T18:40:41.854Z,2025-07-27T18:40:41.854Z
82,381,29,"8,10",2025-07-27T18:40:56.514Z,2025-07-27T18:40:56.514Z
83,382,26,7,2025-07-27T18:41:04.294Z,2025-07-27T18:41:04.294Z
84,383,29,8,2025-07-27T18:41:12.750Z,2025-07-27T18:41:12.750Z
85,384,29,8,2025-07-27T18:41:21.964Z,2025-07-27T18:41:21.964Z
86,385,"29,28",8,2025-07-27T18:41:28.992Z,2025-07-27T18:41:28.992Z
